region,timestamp,temperature_2m,relative_humidity_2m,wind_speed_10m,pressure_msl
London,2026-04-29T15:30,17.2,29,26.3,1023.4
Manchester,2026-04-29T15:30,18.0,31,17.3,1026.8
Birmingham,2026-04-29T15:30,18.1,28,28.1,1024.5
Leeds,2026-04-29T15:30,16.8,32,20.9,1028.9
Glasgow,2026-04-29T15:30,18.3,34,14.0,1029.2
Southampton,2026-04-29T15:30,19.7,29,24.5,1020.3
Liverpool,2026-04-29T15:30,18.9,28,24.5,1026.0
Newcastle,2026-04-29T15:30,13.6,43,15.5,1031.3
Sheffield,2026-04-29T15:30,16.8,33,20.9,1028.1
Middlesbrough,2026-04-29T15:30,15.0,44,16.9,1030.5
